        Spiketime[s]     corrSpiketime[s]                  ISI             instFreq
           34.608890            34.608890             0.006600           151.515152
           34.626270            34.626270             0.017380            57.537399
           34.631430            34.631430             0.005160           193.798450
           34.657520            34.657520             0.026090            38.328862
           35.207620            35.207620             0.004040           247.524752
           35.224240            35.224240             0.016620            60.168472
           35.247240            35.247240             0.023000            43.478261
           35.266990            35.266990             0.019750            50.632911
           35.269140            35.269140             0.002150           465.116279
           35.306350            35.306350             0.037210            26.874496
           35.325460            35.325460             0.019110            52.328624
           35.856560            35.856560             0.004710           212.314225
           35.871160            35.871160             0.014600            68.493151
           35.872670            35.872670             0.001510           662.251656
           35.892720            35.892720             0.020050            49.875312
           35.897110            35.897110             0.004390           227.790433
           35.914450            35.914450             0.017340            57.670127
           35.916990            35.916990             0.002540           393.700787
           35.955840            35.955840             0.038850            25.740026
           36.498820            36.498820             0.017730            56.401579
           36.519770            36.519770             0.020950            47.732697
           36.541880            36.541880             0.022110            45.228403
           36.572070            36.572070             0.030190            33.123551
           36.574080            36.574080             0.002010           497.512438
           37.133450            37.133450             0.005950           168.067227
           37.145950            37.145950             0.012500            80.000000
           37.149680            37.149680             0.003730           268.096515
           37.165120            37.165120             0.015440            64.766839
           37.169800            37.169800             0.004680           213.675214
           37.188680            37.188680             0.018880            52.966102
           37.191790            37.191790             0.003110           321.543408
           37.212600            37.212600             0.020810            48.053820
           37.225790            37.225790             0.013190            75.815011
           37.783470            37.783470             0.017060            58.616647
           37.804710            37.804710             0.021240            47.080979
           37.825320            37.825320             0.020610            48.520136
           37.826590            37.826590             0.001270           787.401575
           37.851300            37.851300             0.024710            40.469446
           37.858690            37.858690             0.007390           135.317997
           38.410360            38.410360             0.004790           208.768267
           38.424120            38.424120             0.013760            72.674419
           38.426610            38.426610             0.002490           401.606426
           38.445170            38.445170             0.018560            53.879310
           38.450600            38.450600             0.005430           184.162063
           38.466870            38.466870             0.016270            61.462815
           38.470630            38.470630             0.003760           265.957447
           38.499720            38.499720             0.029090            34.376074
           38.505880            38.505880             0.006160           162.337662
           39.070850            39.070850             0.009870           101.317123
           39.080900            39.080900             0.010050            99.502488
           39.086580            39.086580             0.005680           176.056338
           39.099920            39.099920             0.013340            74.962519
           39.109950            39.109950             0.010030            99.700897
           39.124180            39.124180             0.014230            70.274069
           39.131250            39.131250             0.007070           141.442716
           39.152100            39.152100             0.020850            47.961631
           39.705110            39.705110             0.005380           185.873606
           39.719510            39.719510             0.014400            69.444444
           39.721270            39.721270             0.001760           568.181818
           39.741830            39.741830             0.020560            48.638132
           39.743980            39.743980             0.002150           465.116279
           39.763370            39.763370             0.019390            51.572976
           39.799190            39.799190             0.035820            27.917365
